from,to,relationship,time,end
robcar,Ralfredo,5,1973,x
eriwer,Rastrein,3,2019,x
eriwer,Rastrein,5,2019,x
marrad,Rlacuisinerademacher,3,2019,x
marrad,Rlacuisinerademacher,5,2019,x
marrad,Rwaldhotelsonnora,6,NA,NA
leohof,Rlasociete,3,2021,x
leohof,Rsölringhof,6,NA,NA
leohof,Raqua,6,NA,NA
tobbec,Rmaibeck,3,2013,x
tobbec,Rmaibeck,5,2013,x
janmai,Rmaibeck,3,2013,x
janmai,Rmaibeck,5,2013,x
maxlor,Rmaximilianlorenz,3,2018,x
maxlor,Rmaximilianlorenz,5,2018,x
Rzurpost,maxlor,4,NA,NA
chrwil,maxlor,1,NA,NA
sonbau,Rneobiota,3,2018,x
sonbau,Rneobiota,5,2018,x
erische,Rneobiota,3,2018,x
erische,Rneobiota,5,2018,x
sonbau,Rgutlärchenhof,6,2008,2017
sonbau,Rgutlärchenhof,3,2014,2017
Rhalbedelsgasthaus,sonbau,4,2004,2007
erische,Rvendome,6,2010,2013
erische,Rlasociete,6,2013,2013
erische,Rgästehausklauserfort,6,2013,2014
erische,Rgutlärchenhof,6,2014,2017
erische,Rgutlärchenhof,3,2015,2017
enrsab,Rpottkind,3,2018,x
enrsab,Rpottkind,5,2018,x
mirgau,Rtaku,3,NA,NA
tholös,Rzurtant,3,2014,x
tholös,Rzurtant,5,2014,x
andwid,Rursprung,3,2017,x
andwid,Rursprung,5,2017,x
Roettingersrestaurant,andwid,4,NA,2010
andwid,Ratelier,6,2011,2013
stebra,Rleosbystephanbrandl,3,2017,x
stebra,Rimschiffchen,3,1999,2001
raizei,Richweißeinhausamsee,3,2005,x
jochel,Rstorchen,3,NA,NA
jochel,Rstorchen,5,NA,NA
frihel,Rstorchen,3,NA,NA
frihel,Rstorchen,5,NA,NA
danfeh,Radler,3,2006,x
danfeh,Rlandhausfeckl,6,2004,2005
rolpie,Rseoküchenhandwerk,3,NA,x
hanhäg,Rgasthofzumbad,3,2007,x
hanhäg,Rlandhausfeckl,6,2003,2005
margri,Rkeidenzellerhof,3,NA,x
lisang,Rfrieda,3,2018,x
lisang,Rfrieda,5,2018,x
andrei,Rfrieda,3,2018,x
andrei,Rfrieda,5,2018,x
Rfalco,lisang,4,2008,NA
detsch,Rstadtpfeiffer,3,2001,x
alehoh,R360°,3,2016,x
alehoh,R360°,5,2016,x
tonneu,Rvillino,3,2017,x
roypet,Rwullenwever,3,1990,x
roypet,Rwullenwever,5,1990,x
roypet,Rlandhausscherrer,6,NA,NA
heiweh,roypet,2,NA,NA
tobsch,Rfavoriterestaurant,3,2020,x
tobsch,Rrestaurantvillamerton,6,NA,NA
tobsch,Rlafleur,6,NA,NA
phiste,Rsteinstraube,3,2019,x
phiste,Rsteinstraube,5,2019,x
phiste,Rente,6,NA,NA
phiste,Rfavoriterestaurant,6,NA,NA
phiste,Rwaldhotelsonnora,6,NA,NA
erischu,Rdoblers,3,2023,x
antsar,Ranthonyskitchen,3,2015,x
antsar,Ranthonyskitchen,5,2015,x
antsar,Rsteinheuersrestaurantzuraltenpost,6,NA,NA
marphi,Rcasala,3,2008,x
marphi,Rschwarzwaldstube,6,2002,2004
marphi,Rwielandshöhe,6,2004,2008
andhil,Rdasmarktrestaurant,3,2010,x
andhil,Rdasmarktrestaurant,5,2010,x
margam,Racquarello,3,1994,x
margam,Racquarello,5,1994,x
margam,Rtantris,6,1980,1986
flober,Rgabelspiel,3,2016,x
flober,Rgabelspiel,5,2016,x
flober,Rtantris,6,NA,NA
natleb,Rlesdeux,3,2020,x
natleb,Ratelier,6,NA,NA
natleb,Rmeiereidirkluther,6,NA,NA
martau,Rmountainhubgourmet,3,2023,x
martau,Rschwarzwaldstube,6,NA,NA
martau,Rjellyfish,6,2018,2019
martau,Rweinsinn,6,2019,2020
joslei,Rmural,3,2018,x
Rsölringhof,joslei,4,2014,2017
joslei,Ratelier,6,2017,2018
domkäp,Rshowroom,3,2017,x
tobbac,Rshowroom,3,2022,x
jürwol,Rsparklingbistro,3,2015,x
jürwol,Rsparklingbistro,5,2015,x
benchm,Rtantrisdna,3,2021,x
sigsch,Rwerneckhofsigischelling,3,2021,x
sigsch,Rwerneckhofsigischelling,5,2021,x
sigsch,Rtantris,6,2006,2021
harrüs,Rrüsselslandhaus,3,1992,x
harrüs,Rrüsselslandhaus,5,1992,x
claurr,Raltebaiz,3,2018,x
claurr,Rwielandshöhe,6,1992,1994
claurr,Rspeisemeisterei,6,1994,1995
claurr,Rfünf,6,2015,2018
claurr,Raltebaiz,5,2018,x
chrdet,Rletemple,3,1992,x
